  Time    daisy.ubuntu.com  apis.google.com  z-1-external.xx.fbcdn.net  ssl.gstatic.com  p5-5nxnidcxbvmkg-wc7jlcfqgozhk5sn-640637-i2-v6exp3-ds.metric.gstatic.com  p5-5nxnidcxbvmkg-wc7jlcfqgozhk5sn-640637-i1-v6exp3-v4.metric.gstatic.com  www.google.co.in  csi.gstatic.com  web.facebook.com  p5-m222hq4yltxck-oeou4xyoahye6xze-490499-i1-v6exp3-v4.metric.gstatic.com  p5-m222hq4yltxck-oeou4xyoahye6xze-490499-i2-v6exp3-ds.metric.gstatic.com  z-1-scontent.fmaa1-2.fna.fbcdn.net  clients4.google.com  julialang.org  z-1-scontent.xx.fbcdn.net  z-1-static.xx.fbcdn.net  www.gstatic.com  www.google.com  www.facebook.com  64.233.161.120 
  0.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  0.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  0.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  0.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  1.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  1.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  1.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  1.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  2.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  2.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  2.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  2.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  3.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  3.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  3.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  3.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  4.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  4.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  4.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  4.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  5.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  5.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  5.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  5.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  6.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  6.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  6.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  6.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  7.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  7.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  7.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  7.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  8.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  8.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  8.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  8.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  9.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  9.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  9.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  9.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 10.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 10.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 10.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 10.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 11.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 11.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 11.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 11.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 12.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 12.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 12.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 12.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 13.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 13.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 13.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 13.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 14.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 14.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 14.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 14.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 15.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 15.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 15.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 15.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 16.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 16.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 16.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 16.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 17.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 17.250      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 17.500      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 17.750      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
 18.000      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
